term;term.soort;term.status;bron;term.nummer;scope_note
Moerbeke;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026610;""
Wannegem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7259473;""
Osaka;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7004756;""
Stabroek;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1026747;""
Kallo;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7244103;""
Moere;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7252312;""
tekst met afbeelding;soort opschrift;niet gedefinieerd;"";"";""
Bassevelde;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7245433;""
Marquise;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7009328;""
Denderhoutem;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7249075;""
zij- en onderkant fles;inscriptie positie;niet gedefinieerd;"";"";""
textielstaal;objectnaam$onderwerp;descriptor;"";"";""
plantenvezel;materiaal$onderwerp;descriptor;http://vocab.getty.edu/aat/;300014031;""
dierlijke textielvezel;materiaal$onderwerp;descriptor;"";"";""
stoommeter;objectnaam;niet gedefinieerd;"";"";""
filmmaker;rol$beroep;descriptor;http://vocab.getty.edu/aat/;300075154;Te gebruiken voor makers van persoonlijke, zelfstandig geproduceerde films, die verantwoordelijk zijn voor het ontwerp, de sponsoring en uitvoering van alle aspecten van de film. 
detector;objectnaam;kandidaat;"";"";""
diktepasser;objectnaam;descriptor;http://vocab.getty.edu/aat/;300195885;Instrumenten die meestal bestaan uit een stel verstelbare, draaiende armen en die worden gebruikt voor het meten van bijvoorbeeld diktes of diameters. 
puntpasser;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022488;Instrumenten waarmee cirkels worden getekend en de afstand tussen twee punten wordt gemeten. Ze bestaan uit twee puntige benen, die bewegen door middel van een scharnier of draaipen. Meestal zijn ze zo gemaakt dat één deel kan worden losgemaakt om er een pen of verlengstuk in te zetten. 
kaartenslagmachine;objectnaam$motief$onderwerp;non-descriptor;"";"";""
snijbeitel;objectnaam;descriptor;"";"";""
slagijzer;objectnaam;descriptor;http://vocab.getty.edu/aat/;300022999;Platte, brede beitels die worden gebruikt om steen te bewerken. 
U-matic video;objectnaam$trefwoord;non-descriptor;http://vocab.getty.edu/aat/;300404355;Gepatenteerde naam voor een analoog videocassetteformaat dat in 1969 door Sony werd ontwikkeld, waarin gebruik wordt gemaakt van tape van 3/4 inch met een draaisnelheid van 3,75 inch per seconde. In de semiprofessionele industriële, educatieve en televisiewereld was het formaat populair van de jaren '70 tot de opkomst van de digitale videotechnologie.
Antwerpen;plaats$geografisch trefwoord$motief;descriptor;http://vocab.getty.edu/tgn/;7007856;""
Willenhall;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7011979;""
ontvanger;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1339255;""
Neuffen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1040451;""
gasdrukregelaar;objectnaam;descriptor;"";"";""
geleidbaarheidsmeter;objectnaam;descriptor;"";"";""
masker;inscriptie positie;descriptor;http://vocab.getty.edu/aat/;300138758;""
dikte;afmeting;descriptor;http://vocab.getty.edu/aat/;300055646;""
drijfriem;objectnaam;descriptor;http://vocab.getty.edu/aat/;300024878;Doorlopende band van stevig, flexibel materiaal, zoals leer, stof, rubber of dikke draad, die wordt gebruikt voor het overbrengen van beweging of kracht van de ene katrol naar de andere of voor het transporteren van goederen.
Amiens;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7010588;""
Göttingen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7005246;""
Roemeens;taal;descriptor;http://vocab.getty.edu/aat/;300389157;""
Bennington;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;2063243;""
Gevelsberg;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1039256;""
stempelmachine;objectnaam;descriptor;"";"";""
slijpsteenmachine;objectnaam;descriptor;"";"";""
dommekracht;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300024753$Q13573963;""
lotingstrommel;objectnaam;niet gedefinieerd;"";"";""
Slough;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7011922;""
radiolamptester;objectnaam;descriptor;"";"";""
moederklok;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1000863;""
hoekmaat;objectnaam;descriptor;"";"";""
Eskilstuna;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1062938;""
pons;objectnaam;descriptor;http://vocab.getty.edu/aat/;300266486;De ruimte die geheel of gedeeltelijk binnen de lijntjes van een letter valt.
snijbrander;objectnaam;descriptor;https://www.wikidata.org/entity/;Q241230;""
Thayngen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1064452;""
meetklok;objectnaam;descriptor;"";"";""
Sint-Katelijne-Waver;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7252904;""
drukregistreertoestel;objectnaam;descriptor;"";"";""
